No,파일명,데이터명,데이터셋구분,대분류명,소분류명,이미지파일경로,너비,높이
47,Img_000_0046,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0046.jpg,550,413
48,Img_000_0047,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0047.jpg,900,471
49,Img_000_0048,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0048.jpg,300,300
50,Img_000_0049,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0049.jpg,900,600
51,Img_000_0050,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0050.jpg,493,740
52,Img_000_0051,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0051.jpg,740,493
53,Img_000_0052,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0052.JPG,900,600
54,Img_000_0053,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0053.JPG,900,600
55,Img_000_0054,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0054.jpg,740,493
56,Img_000_0055,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0055.jpg,740,493
57,Img_000_0056,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0056.JPG,740,493
58,Img_000_0057,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0057.JPG,427,640
59,Img_000_0058,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0058.JPG,740,493
60,Img_000_0059,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0059.JPG,427,640
61,Img_000_0060,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0060.JPG,427,640
62,Img_000_0061,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0061.JPG,550,374
63,Img_000_0062,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0062.jpg,493,740
64,Img_000_0063,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0063.jpg,740,534
65,Img_000_0064,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0064.JPG,740,555
66,Img_000_0065,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0065.JPG,740,555
67,Img_000_0066,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0066.JPG,900,600
68,Img_000_0067,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0067.JPG,900,600
69,Img_000_0068,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0068.JPG,740,521
70,Img_000_0069,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0069.JPG,740,521
71,Img_000_0070,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0070.JPG,740,493
72,Img_000_0071,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0071.JPG,740,493
73,Img_000_0072,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0072.JPG,550,366
74,Img_000_0073,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0073.jpg,900,600
75,Img_000_0074,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0074.jpg,743,495
76,Img_000_0075,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0075.jpg,900,600
77,Img_000_0076,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0076.jpg,630,747
78,Img_000_0077,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0077.jpg,641,427
79,Img_000_0078,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0078.jpg,700,467
80,Img_000_0079,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0079.jpg,700,428
81,Img_000_0080,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0080.jpg,700,525
82,Img_000_0081,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0081.jpg,740,493
83,Img_000_0082,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0082.jpg,450,450
84,Img_000_0083,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0083.jpg,300,300
85,Img_000_0084,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0084.jpg,550,413
86,Img_000_0085,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0085.jpg,600,340
87,Img_000_0086,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0086.jpg,300,300
88,Img_000_0087,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0087.jpg,470,627
89,Img_000_0088,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0088.jpg,500,375
90,Img_000_0089,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0089.jpg,730,489
91,Img_000_0090,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0090.jpg,900,599
92,Img_000_0091,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0091.jpg,966,644
93,Img_000_0092,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0092.jpg,740,493
94,Img_000_0093,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0093.jpg,945,626
95,Img_000_0094,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0094.jpg,300,300
96,Img_000_0095,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0095.jpg,900,600
97,Img_000_0096,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0096.jpg,480,480
98,Img_000_0097,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0097.jpg,730,467
99,Img_000_0098,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0098.jpg,500,607
100,Img_000_0099,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0099.jpg,930,618
101,Img_000_0100,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0100.jpg,1080,1080
102,Img_000_0101,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0101.jpg,660,470
103,Img_000_0102,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0102.jpg,966,724
104,Img_000_0103,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0103.jpg,525,740
105,Img_000_0104,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0104.jpg,650,487
106,Img_000_0105,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0105.jpg,773,434
107,Img_000_0106,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0106.jpg,740,534
108,Img_000_0107,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0107.jpg,480,360
109,Img_000_0108,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0108.jpg,740,555
110,Img_000_0109,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0109.jpg,773,773
111,Img_000_0110,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0110.jpg,550,367
112,Img_000_0111,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0111.jpg,533,304
113,Img_000_0112,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0112.jpg,800,533
114,Img_000_0113,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0113.jpg,952,528
115,Img_000_0114,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0114.jpg,550,825
116,Img_000_0115,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0115.jpg,540,743
117,Img_000_0116,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0116.jpg,900,675
118,Img_000_0117,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0117.jpg,550,825
119,Img_000_0118,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0118.jpg,800,532
120,Img_000_0119,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0119.jpg,580,386
121,Img_000_0120,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0120.jpg,740,493
122,Img_000_0121,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0121.jpg,740,493
123,Img_000_0122,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0122.jpg,588,588
124,Img_000_0123,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0123.jpg,900,600
125,Img_000_0124,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0124.jpg,640,427
126,Img_000_0125,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0125.jpg,740,1110
127,Img_000_0126,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0126.jpg,740,491
128,Img_000_0127,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0127.jpg,550,825
129,Img_000_0128,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0128.jpg,743,560
130,Img_000_0129,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0129.jpg,773,434
131,Img_000_0130,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0130.jpg,813,543
132,Img_000_0131,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0131.jpg,966,643
133,Img_000_0132,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0132.jpg,400,264
134,Img_000_0133,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0133.jpg,800,534
135,Img_000_0134,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0134.jpg,743,493
136,Img_000_0135,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0135.jpg,1080,1080
137,Img_000_0136,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0136.jpg,800,600
138,Img_000_0137,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0137.jpg,1280,720
139,Img_000_0138,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0138.jpg,600,437
140,Img_000_0139,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0139.jpg,800,600
141,Img_000_0140,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0140.jpg,743,558
142,Img_000_0141,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0141.jpg,930,665
143,Img_000_0142,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0142.jpg,580,387
144,Img_000_0143,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0143.jpg,350,350
145,Img_000_0144,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0144.jpg,480,480
146,Img_000_0145,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0145.jpg,650,403
147,Img_000_0146,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0146.jpg,540,358
148,Img_000_0147,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0147.jpg,650,400
149,Img_000_0148,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0148.jpg,914,520
150,Img_000_0149,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0149.jpg,702,468
151,Img_000_0150,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0150.jpg,940,705
152,Img_000_0151,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0151.jpg,640,428
153,Img_000_0152,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0152.jpg,699,466
154,Img_000_0153,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0153.jpg,740,493
155,Img_000_0154,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0154.jpg,936,624
156,Img_000_0155,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0155.jpg,600,401
157,Img_000_0156,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0156.jpg,650,489
158,Img_000_0157,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0157.jpg,845,633
159,Img_000_0158,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0158.jpg,284,360
160,Img_000_0159,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0159.jpg,740,493
161,Img_000_0160,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0160.jpg,900,607
162,Img_000_0161,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0161.jpg,330,330
163,Img_000_0162,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0162.jpg,800,533
164,Img_000_0163,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0163.jpg,900,900
165,Img_000_0164,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0164.jpg,773,579
166,Img_000_0165,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0165.jpg,850,566
167,Img_000_0166,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0166.jpg,500,500
168,Img_000_0167,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0167.jpg,740,555
169,Img_000_0168,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0168.jpg,740,493
170,Img_000_0169,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0169.jpg,600,400
171,Img_000_0170,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0170.jpg,601,402
172,Img_000_0171,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0171.jpg,700,524
173,Img_000_0172,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0172.jpg,480,360
174,Img_000_0173,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0173.jpg,306,275
175,Img_000_0174,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0174.jpg,966,641
176,Img_000_0175,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0175.jpg,825,553
177,Img_000_0176,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0176.jpg,650,432
178,Img_000_0177,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0177.jpg,750,750
179,Img_000_0178,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0178.jpg,500,332
180,Img_000_0179,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0179.jpg,740,417
181,Img_000_0180,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0180.jpg,442,550
182,Img_000_0181,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0181.jpg,1024,663
183,Img_000_0182,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0182.jpg,1080,1080
184,Img_000_0183,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0183.jpg,1023,682
185,Img_000_0184,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0184.jpg,900,675
186,Img_000_0185,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0185.jpg,2048,1536
187,Img_000_0186,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0186.jpg,700,1050
188,Img_000_0187,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0187.jpg,800,600
189,Img_000_0188,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0188.jpg,886,590
190,Img_000_0189,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0189.jpg,640,640
191,Img_000_0190,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0190.jpg,640,426
192,Img_000_0191,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0191.jpg,1080,1080
193,Img_000_0192,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0192.jpg,740,493
194,Img_000_0193,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0193.jpg,700,480
195,Img_000_0194,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0194.jpg,1080,1080
196,Img_000_0195,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0195.jpg,800,684
197,Img_000_0196,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0196.jpg,400,266
198,Img_000_0197,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0197.jpg,767,446
199,Img_000_0198,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0198.jpg,773,579
200,Img_000_0199,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0199.jpg,966,643
201,Img_000_0200,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0200.jpg,570,393
202,Img_000_0201,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0201.jpg,500,374
203,Img_000_0202,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0202.jpg,752,950
204,Img_000_0203,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0203.jpg,300,300
205,Img_000_0204,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0204.jpg,966,643
206,Img_000_0205,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0205.jpg,743,557
207,Img_000_0206,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0206.jpg,900,675
208,Img_000_0207,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0207.jpg,900,604
209,Img_000_0208,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0208.jpg,900,597
210,Img_000_0209,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0209.jpg,700,420
211,Img_000_0210,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0210.jpg,740,1315
212,Img_000_0211,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0211.jpg,550,412
213,Img_000_0212,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0212.jpg,740,416
214,Img_000_0213,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0213.jpg,773,579
215,Img_000_0214,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0214.jpg,640,640
216,Img_000_0215,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0215.jpg,653,432
217,Img_000_0216,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0216.jpg,800,546
218,Img_000_0217,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0217.jpg,480,582
219,Img_000_0218,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0218.jpg,635,423
220,Img_000_0219,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0219.jpg,966,543
221,Img_000_0220,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0220.jpg,572,389
222,Img_000_0221,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0221.jpg,400,300
223,Img_000_0222,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0222.jpg,663,442
224,Img_000_0223,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0223.jpg,1280,690
225,Img_000_0224,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0224.jpg,500,329
226,Img_000_0225,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0225.jpg,513,346
227,Img_000_0226,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0226.jpg,764,507
228,Img_000_0227,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0227.jpg,1920,1080
229,Img_000_0228,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0228.jpg,1440,810
230,Img_000_0229,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0229.jpg,980,530
231,Img_000_0230,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0230.jpg,643,520
